Serial#,Time start,Time Taken,# of constituencies crawled,# of errors found,# of results inserted,# of new inserts
25,2014-05-16 08:06:59.493854,0:02:14.711848,0,0,0,0
26,2014-05-16 08:10:56.228960,0:02:27.786593,0,0,0,0
28,2014-05-16 08:16:00.892959,0:01:04.690489,0,0,0,0,543
0,2014-05-16 08:24:17.326667,0:01:17.904347,0,0,0,0,543
0,2014-05-16 08:37:23.984918,0:01:40.011730,0,0,0,0,543
1,2014-05-16 08:42:19.988224,0:00:01.297639,0,0,0,0,1
2,2014-05-16 08:44:21.405909,0:00:02.270913,0,0,0,0,1
3,2014-05-16 08:45:09.416142,0:00:06.265024,0,0,0,0,1
4,2014-05-16 08:46:29.818398,0:00:01.271337,0,0,0,0,1
5,2014-05-16 08:47:10.125008,0:00:01.348544,1,0,0,0,1
6,2014-05-16 08:48:10.898406,0:00:01.285845,1,0,0,0,1
7,2014-05-16 08:49:06.802948,0:00:01.275811,1,0,0,0,1
8,2014-05-16 08:50:20.369730,0:00:01.311485,1,0,0,0,1
9,2014-05-16 08:52:10.488705,0:00:01.287608,1,0,0,0,1
10,2014-05-16 08:54:08.917880,0:00:01.289326,1,0,0,0,1
11,2014-05-16 08:56:30.605281,0:00:01.366892,1,0,0,0,1
12,2014-05-16 08:57:57.373424,0:00:01.298048,1,0,0,0,1
13,2014-05-16 08:58:59.880417,0:00:01.510247,1,0,0,0,1
14,2014-05-16 08:59:19.189140,0:00:01.283422,1,0,0,0,1
15,2014-05-16 09:00:10.742672,0:00:01.388829,1,0,0,0,1
16,2014-05-16 09:04:53.202111,0:00:01.347380,1,0,0,0,1
17,2014-05-16 09:08:04.554190,0:00:01.357164,1,0,0,0,1
18,2014-05-16 09:09:32.550800,0:00:01.612264,1,0,3,1,1
19,2014-05-16 09:10:38.330661,0:00:01.362978,1,0,0,1,1
20,2014-05-16 09:12:28.561708,0:00:01.654931,1,2,4,1,1
21,2014-05-16 09:16:09.865793,0:00:01.592048,1,0,3,2,1
22,2014-05-16 09:21:43.616313,0:00:01.587214,1,0,3,2,1
23,2014-05-16 09:23:11.627780,0:00:01.545817,1,0,3,2,1
24,2014-05-16 09:24:59.776526,0:00:01.526641,1,0,3,2,1
25,2014-05-16 09:25:21.987331,0:00:01.507706,1,0,3,2,1
26,2014-05-16 11:04:14.544696,0:00:01.157503,0,0,0,2,1
